Rank,Name,Best,Worst,Avg,Std Dev
109,Darrell Daniels IND,95.0,99.0,97.0,2.0
110,Ross Travis IND,85.0,107.0,97.3,9.2
111,Henry Krieger Coble LAR,84.0,111.0,97.5,13.5
112,Michael Hoomanawanui NO,80.0,116.0,98.8,13.6
113,Luke Stocker TEN,93.0,104.0,100.0,5.0
114,Gavin Escobar MIA,100.0,100.0,100.0,0.0
115,Evan Baylis CAR,96.0,110.0,103.0,7.0
116,Antony Auclair TB,83.0,131.0,103.3,20.3
117,Cole Wick SF,93.0,115.0,104.0,11.0
118,Bucky Hodges NYJ,63.0,146.0,104.3,33.9
119,MyCole Pruitt HOU,97.0,112.0,104.5,7.5
120,Chris Manhertz CAR,106.0,106.0,106.0,0.0
121,Garrett Griffin NO,109.0,109.0,109.0,0.0
122,Khari Lee BUF,108.0,126.0,117.0,9.0
123,Temarrick Hemingway LAR,105.0,148.0,119.3,20.3
124,Ben Braunecker CHI,111.0,135.0,123.0,12.0
125,Joshua Perkins PHI,112.0,140.0,126.0,14.0
126,Emanuel Byrd GB,109.0,150.0,129.5,20.5
127,Mason Schreck CIN,108.0,153.0,130.5,22.5
