Rank,Name,Best,Worst,Avg,Std Dev
109,Ito Smith ATL,69.0,115.0,92.1,12.2
110,Bo Scarbrough DAL,62.0,134.0,92.3,16.2
111,Mike Tolbert FA,84.0,104.0,94.0,10.0
112,Boston Scott NO,75.0,118.0,94.4,12.5
113,Damien Williams KC,82.0,125.0,94.8,10.8
114,Wendell Smallwood PHI,65.0,148.0,95.0,19.8
115,Jonathan Williams NO,76.0,171.0,97.6,22.5
116,Elijhaa Penny ARI,79.0,142.0,98.6,18.6
117,Branden Oliver FA,95.0,103.0,99.0,4.0
118,Robert Kelley WAS,75.0,119.0,99.6,11.1
119,J.D. McKissic SEA,70.0,165.0,99.6,24.3
120,T.J. Logan ARI,79.0,138.0,101.1,19.6
121,Josh Adams PHI,80.0,117.0,101.5,13.6
122,Phillip Lindsay DEN,100.0,103.0,101.5,1.5
123,Tommy Bohanon JAC,94.0,109.0,102.7,6.3
124,Tyler Ervin HOU,61.0,158.0,104.3,26.7
125,Trey Edmunds NO,83.0,127.0,104.7,15.1
126,Christine Michael IND,69.0,173.0,104.9,30.3
127,Jamize Olawale DAL,87.0,129.0,108.0,21.0
128,D.J. Foster ARI,85.0,152.0,108.1,21.0
129,Roc Thomas MIN,91.0,139.0,109.0,21.4
130,Mack Brown MIN,88.0,133.0,109.6,14.2
131,Jeremy McNichols SF,94.0,161.0,110.0,25.6
132,Kerwynn Williams KC,90.0,129.0,110.6,15.2
133,Stevan Ridley PIT,95.0,137.0,111.0,15.8
134,Andy Janovich DEN,105.0,117.0,111.0,4.7
135,Aaron Ripkowski GB,93.0,122.0,111.3,13.0
136,James Develin NE,96.0,131.0,113.5,17.5
137,Zach Line NO,99.0,128.0,113.5,12.7
138,Patrick DiMarco BUF,89.0,127.0,113.8,14.7
139,Brian Hill CIN,101.0,135.0,114.4,12.4
140,Anthony Sherman KC,92.0,128.0,114.7,16.1
141,Marcus Murphy BUF,86.0,167.0,117.3,31.3
142,David Fluellen TEN,92.0,144.0,117.9,17.6
143,Jay Prosch HOU,90.0,134.0,118.0,19.9
144,Zach Zenner DET,97.0,153.0,118.3,24.7
145,Raheem Mostert SF,110.0,126.0,119.5,6.5
146,Donnel Pumphrey PHI,71.0,181.0,119.8,39.4
147,CJ Ham MIN,102.0,137.0,121.5,13.9
148,Michael Burton CHI,98.0,136.0,121.7,16.9
149,Fitzgerald Toussaint PIT,104.0,143.0,123.4,13.8
150,Dwayne Washington DET,89.0,151.0,123.7,22.2
151,Matt Jones PHI,108.0,146.0,123.7,16.2
152,Derek Watt LAC,107.0,134.0,124.3,12.3
153,Taiwan Jones BUF,109.0,160.0,124.4,18.8
154,Trenton Cannon NYJ,118.0,133.0,124.7,6.2
155,Justin Davis LAR,99.0,139.0,124.8,15.8
156,Kapri Bibbs WAS,100.0,142.0,125.8,16.7
157,Jalston Fowler SEA,104.0,149.0,126.5,22.5
158,Senorise Perry MIA,121.0,138.0,127.7,7.4
159,Roosevelt Nix PIT,109.0,148.0,128.5,19.5
160,Dan Vitale CLE,113.0,146.0,129.5,16.5
161,David Williams DEN,111.0,157.0,130.5,18.4
162,Brandon Bolden NE,120.0,144.0,132.2,9.3
163,Devante Mays GB,126.0,143.0,132.5,6.4
164,Brandon Wilds JAC,117.0,159.0,137.0,17.2
165,Matthew Dayes CLE,136.0,141.0,138.5,2.5
166,Josh Ferguson IND,137.0,141.0,139.0,2.0
167,Taquan Mizzell CHI,132.0,150.0,143.0,7.9
168,Terrence Magee ATL,145.0,145.0,145.0,0.0
169,Daniel Lasco NO,131.0,170.0,150.5,19.5
170,Keith Marshall WAS,134.0,178.0,156.0,22.0
