Rank,Name,Best,Worst,Avg,Std Dev
109,Jaron Brown SEA,71.0,139.0,98.9,12.3
110,Malcolm Mitchell NE,76.0,158.0,100.7,16.1
111,Kevin White CHI,61.0,138.0,101.3,20.2
112,J'Mon Moore GB,66.0,152.0,103.6,23.5
113,Adam Humphries TB,64.0,134.0,104.3,14.8
114,Keke Coutee HOU,72.0,164.0,104.5,24.5
115,Chad Williams ARI,77.0,138.0,104.6,17.3
116,Kenny Britt NE,82.0,150.0,106.3,19.5
117,Bruce Ellington HOU,86.0,123.0,107.2,12.4
118,Chris Conley KC,90.0,141.0,108.7,12.8
119,Carlos Henderson DEN,82.0,148.0,109.2,16.7
120,D.J. Chark JAC,76.0,140.0,109.6,14.5
121,Laquon Treadwell MIN,87.0,136.0,110.5,10.6
122,Amara Darboh SEA,91.0,168.0,110.7,19.0
123,Tyler Boyd CIN,84.0,147.0,111.0,14.8
124,Jeremy Kerley BUF,83.0,197.0,112.4,27.0
125,Seth Roberts OAK,96.0,146.0,112.5,16.0
126,Roger Lewis NYG,96.0,143.0,112.5,12.0
127,Demarcus Robinson KC,89.0,136.0,113.4,15.5
128,Mack Hollins PHI,79.0,150.0,113.6,14.7
129,Brandon Coleman NO,90.0,133.0,114.4,14.6
130,Josh Reynolds LAR,89.0,149.0,116.4,16.0
131,Antonio Callaway CLE,69.0,185.0,117.1,30.4
132,TJ Jones DET,91.0,176.0,117.1,22.7
133,Andre Holmes BUF,96.0,157.0,117.7,16.6
134,Deon Cain IND,89.0,148.0,118.3,18.8
135,DaeSean Hamilton DEN,101.0,182.0,118.5,22.7
136,Cordarrelle Patterson NE,97.0,158.0,119.1,16.6
137,Braxton Miller HOU,89.0,146.0,122.8,15.1
138,Chris Moore BAL,106.0,149.0,123.1,14.3
139,Cody Latimer NYG,103.0,141.0,123.6,10.9
140,Breshad Perriman BAL,88.0,189.0,123.9,24.4
141,Aldrick Robinson SF,108.0,141.0,124.3,11.5
142,Daurice Fountain IND,108.0,172.0,131.3,17.3
143,Justin Hardy ATL,102.0,199.0,132.0,29.1
144,Tajae Sharpe TEN,88.0,170.0,133.7,21.9
145,Marcell Ateman OAK,92.0,241.0,134.9,47.8
146,Maurice Harris WAS,115.0,166.0,138.0,21.1
147,Jaleel Scott BAL,125.0,150.0,138.2,8.9
148,Jarius Wright CAR,111.0,162.0,138.6,21.2
149,Chad Hansen NYJ,108.0,154.0,138.8,14.5
150,ArDarius Stewart NYJ,94.0,206.0,139.1,34.0
151,Jordan Lasley BAL,129.0,152.0,139.5,6.8
152,Michael Campanaro TEN,119.0,179.0,140.0,18.3
153,Josh Malone CIN,128.0,154.0,141.7,11.2
154,Darrius Heyward-Bey PIT,122.0,162.0,142.3,12.4
155,Ryan Switzer OAK,105.0,171.0,142.8,21.0
156,Deonte Thompson DAL,126.0,202.0,144.3,24.2
157,Johnny Holton OAK,120.0,162.0,145.6,13.8
158,Rashard Higgins CLE,130.0,160.0,146.7,10.3
159,Jaydon Mickens JAC,131.0,172.0,146.8,16.5
160,Kendrick Bourne SF,135.0,165.0,147.7,9.8
161,Pharoh Cooper LAR,93.0,184.0,148.8,28.4
162,Rod Streater BUF,131.0,184.0,149.0,17.8
163,Justin Hunter PIT,105.0,174.0,149.2,24.2
164,Justin Watson TB,137.0,161.0,150.5,10.0
165,Josh Bellamy CHI,119.0,175.0,151.6,20.1
166,Brian Quick WAS,114.0,170.0,152.5,20.6
167,Geremy Davis LAC,116.0,170.0,152.8,21.9
168,Marvin Hall ATL,134.0,174.0,154.3,16.3
169,De'Anthony Thomas KC,123.0,208.0,154.5,30.6
170,Travis Rudolph NYG,119.0,206.0,154.8,32.0
171,Phillip Dorsett NE,128.0,214.0,155.0,25.3
172,Simmie Cobbs Jr. WAS,125.0,190.0,157.5,32.5
173,Ricardo Louis CLE,140.0,181.0,157.8,13.5
174,Tavarres King MIN,135.0,204.0,158.8,24.8
175,Marquez Valdes-Scantling GB,143.0,169.0,159.3,11.6
176,Leonte Carroo MIA,147.0,167.0,160.2,7.3
177,Ray-Ray McCloud BUF,136.0,192.0,161.3,23.2
178,Tanner McEvoy SEA,132.0,196.0,161.6,20.4
179,Auden Tate CIN,127.0,250.0,161.8,45.1
180,Alex Erickson CIN,137.0,186.0,163.2,15.8
181,Bennie Fowler CHI,148.0,179.0,163.5,11.0
182,Cedrick Wilson DAL,143.0,192.0,164.8,20.2
183,Trey Quinn WAS,129.0,201.0,165.8,23.7
184,Andy Jones DET,145.0,193.0,168.5,17.7
185,Jordan Taylor DEN,123.0,193.0,168.8,23.8
186,Trevor Davis GB,115.0,234.0,169.0,42.1
187,Tommylee Lewis NO,143.0,195.0,169.2,17.3
188,Kasen Williams IND,146.0,186.0,170.0,17.3
189,Jehu Chesson KC,151.0,188.0,170.3,17.3
190,Nick Williams TEN,155.0,191.0,171.3,14.9
191,Russell Shepard NYG,157.0,190.0,171.8,12.5
192,Markus Wheaton PHI,147.0,188.0,172.0,17.9
193,Kaelin Clay BUF,154.0,199.0,173.3,17.7
194,Freddie Martino TB,167.0,183.0,174.0,6.7
195,Bryce Treggs PHI,140.0,209.0,174.5,34.5
196,Stacy Coley MIN,145.0,211.0,176.8,26.2
197,Braxton Berrios NE,108.0,296.0,177.5,76.0
198,Damion Ratley CLE,178.0,182.0,180.0,2.0
199,Damiere Byrd CAR,133.0,219.0,180.3,30.9
200,Bobo Wilson TB,177.0,184.0,180.5,3.5
201,Sammie Coates HOU,142.0,245.0,181.0,35.2
202,Dylan Cantrell LAC,151.0,211.0,181.0,30.0
203,Shelton Gibson PHI,166.0,194.0,181.3,11.6
204,Chris Thompson HOU,117.0,246.0,181.5,64.5
205,Mike Thomas LAR,167.0,198.0,181.8,11.8
206,Isaiah McKenzie DEN,176.0,188.0,182.0,6.0
207,Marcus Johnson SEA,174.0,199.0,183.3,11.1
208,Dwayne Harris OAK,172.0,201.0,186.5,14.5
209,Robert Davis WAS,175.0,200.0,187.5,12.5
210,Marquess Wilson PHI,169.0,207.0,188.0,19.0
211,Noah Brown DAL,171.0,205.0,188.3,16.8
212,Artavis Scott LAC,165.0,216.0,190.5,25.5
213,Krishawn Hogan IND,182.0,198.0,191.0,6.7
214,Tanner Gentry CHI,181.0,205.0,192.5,9.2
215,Cobi Hamilton FA,180.0,207.0,193.5,13.5
216,Russell Gage ATL,169.0,218.0,194.5,17.6
217,DeAngelo Yancey GB,130.0,244.0,194.7,47.8
218,Cody Core CIN,163.0,235.0,195.8,27.4
219,Jace Billingsley DET,153.0,233.0,196.7,33.1
220,Richie James SF,156.0,253.0,198.0,40.7
221,Bradley Marquez DET,196.0,207.0,201.5,5.5
222,Devin Fuller FA,195.0,212.0,203.5,8.5
223,Andre Roberts NYJ,170.0,301.0,205.5,55.2
224,Daniel Braverman KC,204.0,212.0,208.0,4.0
225,Jeff Janis CLE,168.0,281.0,211.3,49.7
226,Reggie Davis ATL,213.0,215.0,214.0,1.0
227,Quincy Adeboyejo BAL,161.0,278.0,214.8,41.6
228,Hunter Sharp NYG,196.0,239.0,217.5,21.5
229,K.J. Brent IND,173.0,264.0,218.5,45.5
230,Rashad Greene JAC,202.0,242.0,222.0,20.0
231,Charone Peake NYJ,183.0,305.0,224.7,56.8
232,David Moore SEA,197.0,259.0,228.0,31.0
233,Austin Proehl BUF,194.0,286.0,230.0,40.1
234,Austin Carr NO,183.0,280.0,231.5,48.5
235,Aaron Burbridge SF,208.0,255.0,231.5,23.5
236,Zach Pascal IND,200.0,269.0,234.5,34.5
237,Devin Smith NYJ,202.0,304.0,240.0,45.5
238,KD Cannon DAL,203.0,299.0,251.0,48.0
239,Brandon Reilly BUF,215.0,287.0,251.0,36.0
