Rank,Name,Pos,Best,Worst,Avg,Std Dev
96,Duke Johnson CLE,RB39,34.0,160.0,97.8,20.2
97,Ben Roethlisberger PIT,QB10,66.0,176.0,93.0,19.4
98,Julian Edelman NE,WR41,31.0,165.0,98.9,25.1
99,Andrew Luck IND,QB11,42.0,175.0,96.3,23.7
100,Jordy Nelson OAK,WR42,58.0,159.0,103.1,22.8
101,Sterling Shepard NYG,WR43,70.0,160.0,104.9,14.6
102,Trey Burton CHI,TE9,69.0,175.0,104.5,19.2
103,Tarik Cohen CHI,RB40,34.0,185.0,104.6,24.5
104,Kelvin Benjamin BUF,WR44,70.0,163.0,105.8,16.2
105,Nick Chubb CLE,RB41,52.0,206.0,108.0,23.5
106,Nelson Agholor PHI,WR45,63.0,151.0,106.7,16.5
107,Jordan Reed WAS,TE10,58.0,182.0,106.9,20.7
108,Philip Rivers LAC,QB12,63.0,176.0,102.2,24.7
109,Jimmy Garoppolo SF,QB13,63.0,203.0,102.7,24.0
110,Rishard Matthews TEN,WR46,52.0,164.0,108.7,20.7
111,Kenny Stills MIA,WR47,75.0,221.0,114.7,31.4
112,Patrick Mahomes KC,QB14,66.0,210.0,111.3,24.3
113,Marqise Lee JAC,WR48,53.0,183.0,118.3,22.8
114,Matt Ryan ATL,QB15,72.0,178.0,112.9,18.2
115,Marcus Mariota TEN,QB16,74.0,187.0,114.9,20.3
116,Jared Goff LAR,QB17,68.0,182.0,114.9,19.6
117,Aaron Jones GB,RB42,74.0,193.0,122.0,28.6
118,Jack Doyle IND,TE11,68.0,187.0,123.4,25.0
119,Allen Hurns DAL,WR49,67.0,259.0,125.8,35.9
120,Josh Doctson WAS,WR50,81.0,191.0,126.3,20.3
121,George Kittle SF,TE12,81.0,194.0,128.7,24.1
122,DeSean Jackson TB,WR51,99.0,208.0,129.1,18.6
123,Devontae Booker DEN,RB43,74.0,197.0,129.9,25.5
124,Alex Smith WAS,QB18,68.0,206.0,127.8,24.8
125,Dak Prescott DAL,QB19,82.0,192.0,127.9,21.5
126,D'Onta Foreman HOU,RB44,69.0,210.0,131.9,29.6
127,Ty Montgomery GB,RB45,70.0,208.0,134.8,27.1
