Rank,Name,Pos,Best,Worst,Avg,Std Dev,Tiers
126,D'Onta Foreman HOU,RB44,69.0,218.0,132.8,31.3,20
127,Ty Montgomery GB,RB45,70.0,208.0,134.8,27.1,20
128,David Njoku CLE,TE13,69.0,206.0,136.1,22.9,20
129,Bilal Powell NYJ,RB46,78.0,220.0,136.8,35.9,20
130,Tyler Eifert CIN,TE14,104.0,195.0,137.2,25.4,20
131,Kenny Golladay DET,WR52,87.0,262.0,135.8,31.6,20
132,D.J. Moore CAR,WR53,47.0,227.0,137.8,30.3,20
133,Giovani Bernard CIN,RB47,100.0,206.0,137.1,23.9,20
134,Theo Riddick DET,RB48,87.0,253.0,142.3,28.3,21
135,Cameron Meredith NO,WR54,73.0,220.0,141.2,25.4,21
136,Corey Clement PHI,RB49,68.0,224.0,139.7,27.3,21
137,Dez Bryant FA,WR55,49.0,210.0,120.9,33.4,21
138,O.J. Howard TB,TE15,85.0,240.0,144.4,28.4,23
139,Jacksonville Jaguars JAC,DST1,97.0,216.0,142.2,22.5,23
140,Tyler Lockett SEA,WR56,91.0,253.0,147.4,37.6,23
141,James White NE,RB50,75.0,218.0,149.4,26.7,23
142,Derek Carr OAK,QB20,103.0,200.0,148.0,21.3,23
143,Cameron Brate TB,TE16,104.0,215.0,150.9,25.9,23
144,Latavius Murray MIN,RB51,76.0,229.0,151.0,28.6,23
145,LeGarrette Blount DET,RB52,53.0,235.0,149.5,34.1,23
146,Calvin Ridley ATL,WR57,66.0,246.0,149.6,31.5,23
147,Mitch Trubisky CHI,QB21,81.0,215.0,150.4,28.4,23
148,Minnesota Vikings MIN,DST2,128.0,223.0,149.5,18.6,23
149,Blake Bortles JAC,QB22,85.0,227.0,150.0,27.3,23
150,Eric Ebron IND,TE17,87.0,219.0,155.5,27.0,23
151,Mohamed Sanu ATL,WR58,73.0,232.0,153.5,30.9,23
152,Ted Ginn NO,WR59,106.0,253.0,156.1,28.3,24
153,Philadelphia Eagles PHI,DST3,134.0,231.0,154.6,17.6,24
154,Charles Clay BUF,TE18,104.0,232.0,159.6,28.5,24
155,Doug Martin OAK,RB53,93.0,227.0,155.6,33.1,24
156,Martavis Bryant OAK,WR60,90.0,227.0,154.8,33.0,24
157,Chris Carson SEA,RB54,75.0,218.0,154.9,32.0,24
158,Mike Williams LAC,WR61,77.0,252.0,155.9,38.9,24
159,Jameis Winston TB,QB23,89.0,231.0,160.3,34.0,24
160,Eli Manning NYG,QB24,96.0,222.0,159.1,27.7,24
161,Paul Richardson WAS,WR62,103.0,242.0,156.7,32.1,24
162,Michael Gallup DAL,WR63,91.0,208.0,149.5,24.7,24
163,Peyton Barber TB,RB55,111.0,236.0,160.0,33.8,24
164,Los Angeles Rams LAR,DST4,126.0,220.0,160.6,20.6,24
165,Los Angeles Chargers LAC,DST5,131.0,234.0,163.7,18.8,25
166,Matt Breida SF,RB56,93.0,247.0,165.2,32.9,25
167,Dede Westbrook JAC,WR64,90.0,244.0,164.6,33.9,25
168,Tyrell Williams LAC,WR65,86.0,250.0,165.6,41.4,25
169,Jared Cook OAK,TE19,86.0,247.0,168.4,30.2,25
170,Austin Seferian-Jenkins JAC,TE20,89.0,251.0,168.4,33.7,25
171,Case Keenum DEN,QB25,95.0,248.0,167.4,29.4,25
172,Houston Texans HOU,DST6,141.0,236.0,166.4,20.1,25
173,Andy Dalton CIN,QB26,101.0,239.0,169.7,28.8,25
174,Frank Gore MIA,RB57,87.0,225.0,166.3,26.1,25
175,Denver Broncos DEN,DST7,133.0,222.0,166.6,20.2,25
176,Anthony Miller CHI,WR66,102.0,265.0,163.7,39.9,25
177,Nyheim Hines IND,RB58,53.0,238.0,163.5,36.3,25
178,Kenneth Dixon BAL,RB59,111.0,230.0,170.0,27.6,25
179,Baltimore Ravens BAL,DST8,146.0,261.0,173.6,23.4,26
180,Stephen Gostkowski NE,K1,149.0,279.0,175.0,22.6,26
181,Mike Wallace PHI,WR67,113.0,230.0,175.6,30.5,26
182,Donte Moncrief JAC,WR68,86.0,239.0,174.7,33.2,26
183,Chris Godwin TB,WR69,93.0,225.0,176.3,28.5,26
184,Ricky Seals-Jones ARI,TE21,83.0,244.0,179.7,31.5,26
185,Jordan Matthews NE,WR70,121.0,252.0,173.7,33.6,26
186,Justin Tucker BAL,K2,154.0,254.0,180.0,21.5,26
187,Tyrod Taylor CLE,QB27,78.0,240.0,183.4,33.8,26
188,Austin Ekeler LAC,RB60,95.0,261.0,178.7,40.7,26
189,Vance McDonald PIT,TE22,107.0,244.0,182.0,28.2,26
190,Chris Ivory BUF,RB61,56.0,245.0,167.6,40.3,26
191,Quincy Enunwa NYJ,WR71,117.0,249.0,180.4,35.3,27
192,Greg Zuerlein LAR,K3,150.0,253.0,180.4,17.8,27
193,Christian Kirk ARI,WR72,62.0,255.0,183.6,40.8,27
194,Austin Hooper ATL,TE23,123.0,242.0,183.8,25.7,27
195,Benjamin Watson NO,TE24,105.0,235.0,180.6,28.5,27
196,Seattle Seahawks SEA,DST9,135.0,249.0,185.6,30.0,27
197,Ryan Tannehill MIA,QB28,98.0,252.0,189.6,32.6,27
198,Samaje Perine WAS,RB62,105.0,292.0,181.9,42.7,27
199,New Orleans Saints NO,DST10,159.0,237.0,185.7,18.4,27
200,New England Patriots NE,DST11,131.0,243.0,184.8,16.9,27
