Rank,Name,Pos,Best,Worst,Avg,Std Dev,Tiers
51,Mark Ingram NO,RB23,27.0,83.0,53.4,12.3,11
52,Lamar Miller HOU,RB24,20.0,139.0,53.6,18.0,11
53,Russell Wilson SEA,QB2,35.0,79.0,48.4,9.5,11
54,Ronald Jones II TB,RB25,27.0,193.0,57.6,22.7,11
55,Royce Freeman DEN,RB26,27.0,89.0,57.7,14.2,11
56,Tom Brady NE,QB3,34.0,115.0,51.8,13.8,11
57,Dion Lewis TEN,RB27,36.0,120.0,60.7,15.4,12
58,Sony Michel NE,RB28,27.0,159.0,62.4,22.2,12
59,Jarvis Landry CLE,WR25,39.0,93.0,63.4,13.4,12
60,Michael Crabtree BAL,WR26,37.0,95.0,64.1,11.4,12
61,Cam Newton CAR,QB4,36.0,83.0,58.4,10.3,12
62,Deshaun Watson HOU,QB5,10.0,109.0,60.0,17.9,12
63,Sammy Watkins KC,WR27,44.0,116.0,69.5,14.1,13
64,Greg Olsen CAR,TE4,46.0,125.0,69.6,14.4,13
65,Tevin Coleman ATL,RB29,46.0,111.0,71.7,12.8,13
66,Jimmy Graham GB,TE5,34.0,128.0,72.6,17.3,13
67,Marshawn Lynch OAK,RB30,43.0,190.0,70.9,24.1,13
68,Carson Wentz PHI,QB6,26.0,114.0,66.6,15.4,13
69,Corey Davis TEN,WR28,32.0,151.0,73.7,21.4,13
70,Evan Engram NYG,TE6,31.0,134.0,74.2,18.3,13
71,Devin Funchess CAR,WR29,38.0,121.0,74.9,16.2,13
72,Chris Hogan NE,WR30,45.0,143.0,75.8,20.5,13
73,Drew Brees NO,QB7,51.0,137.0,71.5,14.1,13
74,Robert Woods LAR,WR31,46.0,194.0,77.8,22.7,14
75,Pierre Garcon SF,WR32,49.0,121.0,78.7,14.7,14
76,Emmanuel Sanders DEN,WR33,55.0,141.0,78.2,18.4,14
77,Kirk Cousins MIN,QB8,42.0,115.0,75.5,12.7,14
78,Marlon Mack IND,RB31,48.0,164.0,82.2,21.2,14
79,Delanie Walker TEN,TE7,55.0,124.0,82.2,13.2,14
80,Kyle Rudolph MIN,TE8,57.0,132.0,84.4,12.7,14
81,Cooper Kupp LAR,WR34,68.0,126.0,88.6,10.2,15
82,Rex Burkhead NE,RB32,40.0,158.0,89.5,24.7,15
83,Jamaal Williams GB,RB33,49.0,139.0,88.9,22.4,15
84,Matthew Stafford DET,QB9,56.0,148.0,85.2,15.8,15
85,Jamison Crowder WAS,WR35,45.0,130.0,89.3,17.7,15
86,Isaiah Crowell NYJ,RB34,62.0,185.0,92.0,22.3,15
87,Robby Anderson NYJ,WR36,37.0,212.0,90.6,25.4,15
88,Devante Parker MIA,WR37,58.0,148.0,91.0,19.5,15
89,C.J. Anderson CAR,RB35,54.0,142.0,93.9,20.5,15
90,Chris Thompson WAS,RB36,57.0,165.0,94.6,19.6,16
91,Kerryon Johnson DET,RB37,50.0,156.0,93.5,21.3,16
92,Will Fuller HOU,WR38,51.0,157.0,96.1,20.8,16
93,Marquise Goodwin SF,WR39,52.0,193.0,96.5,23.5,16
94,Carlos Hyde CLE,RB38,36.0,245.0,97.8,33.2,16
95,Randall Cobb GB,WR40,52.0,148.0,95.7,22.6,16
96,Duke Johnson CLE,RB39,34.0,160.0,97.8,20.1,16
97,Ben Roethlisberger PIT,QB10,66.0,176.0,93.0,19.4,16
98,Julian Edelman NE,WR41,31.0,165.0,99.1,25.1,16
99,Andrew Luck IND,QB11,42.0,175.0,96.3,23.7,16
100,Jordy Nelson OAK,WR42,58.0,159.0,103.3,22.5,17
101,Sterling Shepard NYG,WR43,70.0,160.0,105.0,14.7,17
102,Tarik Cohen CHI,RB40,34.0,185.0,104.5,24.4,17
103,Trey Burton CHI,TE9,69.0,175.0,104.7,19.0,17
104,Kelvin Benjamin BUF,WR44,70.0,163.0,105.8,16.2,17
105,Nick Chubb CLE,RB41,52.0,206.0,108.2,23.4,17
106,Jordan Reed WAS,TE10,58.0,182.0,106.9,20.7,17
107,Nelson Agholor PHI,WR45,63.0,151.0,107.0,16.3,17
108,Philip Rivers LAC,QB12,63.0,176.0,102.2,24.6,17
109,Jimmy Garoppolo SF,QB13,63.0,203.0,102.7,24.0,17
110,Rishard Matthews TEN,WR46,52.0,164.0,108.3,21.0,17
111,Kenny Stills MIA,WR47,75.0,221.0,114.6,31.4,18
112,Patrick Mahomes KC,QB14,66.0,210.0,111.3,24.3,18
113,Marqise Lee JAC,WR48,53.0,183.0,118.3,22.8,18
114,Matt Ryan ATL,QB15,72.0,178.0,112.9,18.2,18
115,Marcus Mariota TEN,QB16,74.0,187.0,115.0,20.2,18
116,Jared Goff LAR,QB17,68.0,182.0,114.9,19.6,18
117,Aaron Jones GB,RB42,74.0,193.0,122.0,28.6,19
118,Jack Doyle IND,TE11,68.0,187.0,123.3,25.1,19
119,Allen Hurns DAL,WR49,67.0,259.0,125.8,35.9,19
120,Josh Doctson WAS,WR50,81.0,191.0,125.7,20.5,19
121,George Kittle SF,TE12,81.0,194.0,128.6,24.2,19
122,DeSean Jackson TB,WR51,99.0,208.0,129.1,18.6,19
123,Devontae Booker DEN,RB43,74.0,197.0,129.7,25.5,19
124,Alex Smith WAS,QB18,68.0,206.0,127.8,24.8,19
125,Dak Prescott DAL,QB19,82.0,192.0,127.9,21.5,19
