Rank,Name,Team,Age,G,GS,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,Year
81,D.J. Tialavea,ATL,25.0,2,0.0,1.0,1,1,1.0,1,6.0,2016
83,Ifeanyi Momah,ARI,27.0,5,1.0,4.0,2,50,25.0,0,5.0,2016
84,Nick Boyle,BAL,23.0,6,0.0,6.0,6,44,7.33,0,4.0,2016
85,Ben Braunecker,CHI,22.0,13,2.0,6.0,4,41,10.25,0,4.0,2016
87,Justin Perillo,GNB,25.0,9,1.0,5.0,4,35,8.75,0,4.0,2016
86,Brandon Williams,SEA,29.0,16,1.0,3.0,2,36,18.0,0,4.0,2016
89,Derek Carrier,WAS,26.0,8,0.0,2.0,2,10,5.0,0,3.0,2016
92,Sean McGrath,SDG,29.0,16,5.0,2.0,2,25,12.5,0,3.0,2016
91,Niles Paul,WAS,27.0,8,1.0,2.0,2,27,13.5,0,3.0,2016
90,Lee Smith,OAK,29.0,4,4.0,6.0,6,29,4.83,0,3.0,2016
88,Nick Vannett,SEA,23.0,9,2.0,4.0,3,32,10.67,0,3.0,2016
94,Clay Harbor,2TM,29.0,15,2.0,3.0,3,19,6.33,0,2.0,2016
97,Logan Paulsen,CHI,29.0,16,12.0,10.0,3,15,5.0,0,2.0,2016
93,Luke Stocker,TAM,28.0,12,10.0,8.0,5,23,4.6,0,2.0,2016
96,Ross Travis,KAN,23.0,6,3.0,6.0,3,15,5.0,0,2.0,2016
95,Cole Wick,DET,23.0,6,0.0,3.0,2,18,9.0,0,2.0,2016
98,Gerald Christian,BUF,25.0,3,0.0,2.0,1,14,14.0,0,1.0,2016
102,Alex Ellis,JAX,23.0,6,3.0,4.0,3,11,3.67,0,1.0,2016
99,Je'Ron Hamm,SFO,24.0,5,0.0,4.0,2,13,6.5,0,1.0,2016
101,Henry Krieger-Coble,DEN,24.0,2,0.0,1.0,1,13,13.0,0,1.0,2016
103,Chris Manhertz,2TM,24.0,7,2.0,1.0,1,10,10.0,0,1.0,2016
104,Matthew Mulligan,DET,31.0,8,0.0,1.0,1,8,8.0,0,1.0,2016
100,MyCole Pruitt,2TM,24.0,4,0.0,2.0,2,13,6.5,0,1.0,2016
105,David Morgan,MIN,23.0,12,0.0,1.0,1,4,4.0,0,,2016
108,Troy Niklas,ARI,24.0,3,2.0,2.0,1,0,0.0,0,,2016
122,James O'Shaughnessy,KAN,24.0,16,3.0,3.0,2,-1,-0.5,0,,2016
106,Randall Telfer,CLE,24.0,14,5.0,7.0,2,4,2.0,0,,2016
1,Rob Gronkowski*+,NWE,28.0,14,14.0,105.0,69,1084,15.71,8,158.0,2017
2,Travis Kelce*,KAN,28.0,15,15.0,122.0,83,1038,12.51,8,151.0,2017
3,Zach Ertz*,PHI,27.0,14,13.0,110.0,74,824,11.14,8,130.0,2017
4,Jimmy Graham*,SEA,31.0,16,13.0,96.0,57,520,9.12,10,116.0,2017
5,Evan Engram,NYG,23.0,15,11.0,115.0,64,722,11.28,6,110.0,2017
6,Kyle Rudolph*,MIN,28.0,16,16.0,81.0,57,532,9.33,8,101.0,2017
7,Delanie Walker*,TEN,33.0,16,11.0,111.0,74,807,10.91,3,101.0,2017
8,Cameron Brate,TAM,26.0,16,6.0,77.0,48,591,12.31,6,95.0,2017
9,Jack Doyle*,IND,27.0,15,15.0,108.0,80,690,8.63,4,91.0,2017
10,Jason Witten*,DAL,35.0,16,16.0,87.0,63,560,8.89,5,84.0,2017
11,Tyler Kroft,CIN,25.0,16,16.0,62.0,42,404,9.62,7,82.0,2017
12,Hunter Henry,LAC,23.0,14,13.0,62.0,45,579,12.87,4,82.0,2017
14,Jared Cook,OAK,30.0,16,16.0,86.0,54,688,12.74,2,79.0,2017
15,Vernon Davis,WAS,33.0,16,16.0,69.0,43,648,15.07,3,79.0,2017
13,Eric Ebron,DET,24.0,16,9.0,86.0,53,574,10.83,4,79.0,2017
16,Ben Watson,BAL,37.0,16,12.0,79.0,61,522,8.56,4,78.0,2017
17,O.J. Howard,TAM,23.0,14,14.0,39.0,26,432,16.62,6,75.0,2017
18,Austin Hooper,ATL,23.0,16,8.0,65.0,49,526,10.73,3,71.0,2017
19,Charles Clay,BUF,28.0,13,13.0,74.0,49,558,11.39,2,68.0,2017
21,George Kittle,SFO,24.0,15,7.0,63.0,43,515,11.98,2,64.0,2017
20,Marcedes Lewis,JAX,33.0,16,16.0,48.0,24,318,13.25,5,64.0,2017
22,David Njoku,CLE,21.0,16,5.0,60.0,32,386,12.06,4,63.0,2017
23,Garrett Celek,SFO,29.0,16,13.0,33.0,21,336,16.0,4,58.0,2017
25,Trey Burton,PHI,26.0,15,1.0,31.0,23,248,10.78,5,57.0,2017
24,Julius Thomas,MIA,29.0,14,13.0,62.0,41,388,9.46,3,57.0,2017
26,Jesse James,PIT,23.0,16,14.0,63.0,43,372,8.65,3,55.0,2017
27,Ed Dickson,CAR,30.0,16,12.0,48.0,30,437,14.57,1,52.0,2017
29,Antonio Gates,LAC,37.0,16,4.0,52.0,30,316,10.53,3,52.0,2017
28,Austin Seferian-Jenkins,NYJ,25.0,13,10.0,74.0,50,357,7.14,3,52.0,2017
31,Seth Devalve,CLE,24.0,16,4.0,58.0,33,395,11.97,1,44.0,2017
30,Jermaine Gresham,ARI,29.0,14,14.0,46.0,33,322,9.76,2,44.0,2017
32,Nick O'Leary,BUF,25.0,15,5.0,32.0,22,322,14.64,2,42.0,2017
33,Stephen Anderson,HOU,24.0,15,5.0,52.0,25,342,13.68,1,40.0,2017
34,Luke Willson,SEA,27.0,16,7.0,22.0,15,153,10.2,4,39.0,2017
35,Ricky Seals-Jones,ARI,22.0,10,1.0,28.0,12,201,16.75,3,38.0,2017
39,Rhett Ellison,NYG,29.0,16,14.0,32.0,24,235,9.79,2,36.0,2017
36,Gerald Everett,LAR,23.0,16,2.0,32.0,16,244,15.25,2,36.0,2017
37,Darren Fells,DET,31.0,16,13.0,26.0,17,177,10.41,3,36.0,2017
40,Tyler Higbee,LAR,24.0,16,16.0,45.0,25,295,11.8,1,36.0,2017
38,Zach Miller,CHI,33.0,8,6.0,35.0,20,236,11.8,2,36.0,2017
41,A.J. Derby,2TM,26.0,11,1.0,40.0,21,244,11.62,2,34.0,2017
42,Jordan Reed,WAS,27.0,6,5.0,35.0,27,211,7.81,2,33.0,2017
43,Adam Shaheen,CHI,24.0,13,7.0,14.0,12,127,10.58,3,31.0,2017
44,Demetrius Harris,KAN,26.0,16,7.0,35.0,18,224,12.44,1,30.0,2017
45,Martellus Bennett,2TM,30.0,9,7.0,44.0,30,286,9.53,0,29.0,2017
46,Jonnu Smith,TEN,22.0,16,13.0,30.0,18,157,8.72,2,28.0,2017
48,Jeff Heuerman,DEN,25.0,14,6.0,21.0,9,142,15.78,2,26.0,2017
47,Lance Kendricks,GNB,29.0,16,9.0,35.0,18,203,11.28,1,26.0,2017
49,Virgil Green,DEN,29.0,16,16.0,22.0,14,191,13.64,1,25.0,2017
51,Vance McDonald,PIT,27.0,10,7.0,24.0,14,188,13.43,1,25.0,2017
50,Greg Olsen,CAR,32.0,7,7.0,38.0,17,191,11.24,1,25.0,2017
53,Ryan Griffin,HOU,27.0,7,6.0,26.0,13,158,12.15,1,24.0,2017
52,Dion Sims,CHI,26.0,14,14.0,29.0,15,180,12.0,1,24.0,2017
54,Nick Boyle,BAL,24.0,15,11.0,37.0,28,203,7.25,0,22.0,2017
55,Richard Rodgers,GNB,25.0,15,1.0,19.0,12,160,13.33,1,22.0,2017
56,James O'Shaughnessy,JAX,25.0,16,1.0,24.0,14,149,10.64,1,21.0,2017
58,Brent Celek,PHI,32.0,16,10.0,24.0,13,130,10.0,1,19.0,2017
57,Troy Niklas,ARI,25.0,15,11.0,23.0,11,132,12.0,1,19.0,2017
60,Levine Toilolo,ATL,26.0,15,12.0,14.0,12,122,10.17,1,18.0,2017
61,Eric Tomlinson,NYJ,25.0,14,12.0,11.0,8,121,15.13,1,18.0,2017
59,Nick Vannett,SEA,24.0,15,4.0,15.0,12,124,10.33,1,18.0,2017
62,Anthony Fasano,MIA,33.0,16,6.0,16.0,12,107,8.92,1,17.0,2017
63,David Morgan,MIN,24.0,15,6.0,12.0,10,95,9.5,1,16.0,2017
66,Dwayne Allen,NWE,27.0,16,8.0,22.0,10,86,8.6,1,15.0,2017
65,James Hanna,DAL,28.0,16,8.0,9.0,4,88,22.0,1,15.0,2017
64,C.J. Uzomah,CIN,24.0,14,4.0,15.0,10,92,9.2,1,15.0,2017
67,Josh Hill,NOR,27.0,16,11.0,22.0,16,125,7.81,1,14.0,2017
69,C.J. Fiedorowicz,HOU,26.0,5,5.0,22.0,14,127,9.07,0,13.0,2017
68,Logan Thomas,BUF,26.0,12,2.0,9.0,7,67,9.57,1,13.0,2017
70,Brandon Williams,IND,30.0,14,10.0,17.0,13,121,9.31,0,12.0,2017
71,Michael Hoomanawanui,NOR,29.0,14,10.0,10.0,6,52,8.67,1,11.0,2017
73,Phillip Supernaw,TEN,27.0,16,3.0,6.0,4,39,9.75,1,10.0,2017
72,Austin Traylor,DEN,24.0,7,3.0,13.0,8,100,12.5,0,10.0,2017
74,Luke Stocker,2TM,29.0,12,5.0,5.0,4,30,7.5,1,9.0,2017
77,Lee Smith,OAK,30.0,16,9.0,11.0,8,76,9.5,0,8.0,2017
76,Ross Travis,2TM,24.0,15,3.0,17.0,7,76,10.86,0,8.0,2017
75,Clive Walford,OAK,26.0,13,0.0,13.0,9,80,8.89,0,8.0,2017
79,Alan Cross,TAM,24.0,8,4.0,6.0,5,58,11.6,0,6.0,2017
78,Ben Koyack,JAX,24.0,16,3.0,7.0,5,38,7.6,0,6.0,2017
80,Orson Charles,KAN,26.0,5,0.0,2.0,2,53,26.5,0,5.0,2017
82,Tyler Eifert,CIN,27.0,2,0.0,5.0,4,46,11.5,0,5.0,2017
81,Jacob Hollister,NWE,24.0,15,1.0,11.0,4,42,10.5,0,5.0,2017
83,Sean McGrath,LAC,30.0,15,6.0,4.0,4,46,11.5,0,5.0,2017
85,Ifeanyi Momah,ARI,28.0,9,2.0,2.0,1,46,46.0,0,5.0,2017
84,Michael Roberts,DET,23.0,15,3.0,7.0,4,46,11.5,0,5.0,2017
86,Blake Bell,MIN,26.0,13,3.0,4.0,3,19,6.33,0,4.0,2017
87,James Develin*,NWE,29.0,16,7.0,10.0,6,38,6.33,0,4.0,2017
89,Randall Telfer,CLE,25.0,16,14.0,4.0,3,36,12.0,0,4.0,2017
88,Will Tye,NYJ,26.0,3,1.0,6.0,4,38,9.5,0,4.0,2017
90,Emanuel Byrd,GNB,23.0,1,0.0,2.0,2,31,15.5,0,3.0,2017
91,Darrell Daniels,IND,23.0,12,3.0,13.0,3,26,8.67,0,3.0,2017
92,Geoff Swaim,DAL,24.0,15,2.0,2.0,2,25,12.5,0,3.0,2017
93,MarQueis Gray,MIA,28.0,16,0.0,3.0,1,10,10.0,0,2.0,2017
95,Cole Hikutini,SFO,23.0,4,0.0,3.0,2,15,7.5,0,2.0,2017
94,Chris Manhertz,CAR,25.0,16,4.0,4.0,2,17,8.5,0,2.0,2017
98,Jeff Cumberland,LAC,30.0,7,3.0,3.0,2,2,1.0,0,,2017
96,Garrett Griffin,NOR,23.0,3,0.0,1.0,1,4,4.0,0,,2017
97,Ryan Malleck,HOU,24.0,2,0.0,1.0,1,3,3.0,0,,2017
