Rank,Name,Team,Pos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,PosRank
51,Matthew Stafford,DET,QB,28,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,,0,282.0,7
52,Bilal Powell,NYJ,WR,28,16,4,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,139.0,15
53,Terrelle Pryor,CLE,WR,27,16,15,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,138.0,16
54,Tyreek Hill*+,KAN,WR,22,16,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,138.0,17
55,Jarvis Landry*,MIA,WR,24,16,16,0,1,0,0,0,5,17,3.4,0,131,94,1136,12.09,4,137.0,18
56,Larry Fitzgerald*,ARI,WR,33,16,16,0,1,0,0,0,2,5,2.5,0,150,107,1023,9.56,6,137.0,19
57,Demaryius Thomas*,DEN,WR,29,16,16,0,0,0,0,0,0,0,,0,144,90,1083,12.03,5,136.0,20
58,Kelvin Benjamin,CAR,WR,25,16,13,0,0,0,0,0,0,0,,0,118,63,941,14.94,7,134.0,21
59,Dez Bryant*,DAL,WR,28,13,13,1,1,10,1,0,0,0,,0,96,50,796,15.92,8,134.0,22
60,Emmanuel Sanders*,DEN,WR,29,16,16,0,0,0,0,0,1,4,4.0,0,137,79,1032,13.06,5,134.0,23
61,Jonathan Stewart,CAR,RB,29,13,13,0,0,0,0,0,218,824,3.78,9,21,8,60,7.5,0,138.0,22
62,Hunter Henry,SDG,TE,22,15,10,0,0,0,0,0,0,0,,0,53,36,478,13.28,8,96.0,10
63,Julian Edelman,NWE,WR,30,16,13,0,0,0,0,0,12,57,4.75,0,159,98,1106,11.29,3,132.0,24
64,Golden Tate,DET,WR,28,16,16,0,0,0,0,0,10,4,0.4,0,135,91,1077,11.84,4,132.0,25
65,Antonio Gates,SDG,TE,36,14,9,0,0,0,0,0,0,0,,0,93,53,548,10.34,7,95.0,11
66,Terrance West,BAL,RB,25,16,13,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,137.0,23
67,Mike Wallace,BAL,WR,30,16,16,0,0,0,0,0,5,31,6.2,0,116,72,1017,14.13,4,131.0,26
68,Tyrod Taylor,BUF,QB,27,15,15,269,436,3023,17,6,95,580,6.11,6,0,0,0,,0,271.0,8
69,Derek Carr*,OAK,QB,25,15,15,357,560,3937,28,6,39,70,1.79,0,0,0,0,,0,270.0,9
70,Blake Bortles,JAX,QB,24,16,16,368,625,3905,23,16,58,359,6.19,3,1,1,20,20.0,1,270.0,10
71,Russell Wilson,SEA,QB,28,16,16,353,546,4219,21,11,72,259,3.6,1,2,2,14,7.0,1,270.0,11
72,Kenny Britt,LAR,WR,28,15,15,0,0,0,0,0,0,0,,0,111,68,1002,14.74,5,128.0,27
73,Kenny Stills,MIA,WR,24,16,16,0,0,0,0,0,0,0,,0,81,42,726,17.29,9,127.0,28
74,Allen Robinson,JAX,WR,23,16,16,0,0,0,0,0,0,0,,0,151,73,883,12.1,6,126.0,29
75,Coby Fleener,NOR,TE,28,16,8,0,0,0,0,0,1,2,2.0,1,81,50,631,12.62,3,89.0,12
76,Adam Thielen,MIN,WR,26,16,10,0,0,0,0,0,2,15,7.5,0,92,69,967,14.01,5,126.0,30
77,Ryan Mathews,PHI,RB,29,13,8,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,132.0,24
78,Marcus Mariota,TEN,QB,23,15,15,276,451,3426,26,9,60,349,5.82,2,1,0,0,,0,268.0,12
79,Ben Roethlisberger*,PIT,QB,34,14,14,328,509,3819,29,13,16,14,0.88,1,0,0,0,,0,266.0,13
80,Philip Rivers*,SDG,QB,35,16,16,349,578,4386,33,21,14,35,2.5,0,0,0,0,,0,263.0,14
81,Jameis Winston,TAM,QB,22,16,16,345,567,4090,28,18,53,165,3.11,1,0,0,0,,0,262.0,15
82,Tom Brady*,NWE,QB,39,12,12,291,432,3554,28,2,28,64,2.29,0,0,0,0,,0,261.0,17
83,Andy Dalton*,CIN,QB,29,16,16,364,563,4206,18,8,46,184,4.0,4,0,0,0,,0,261.0,16
84,Cam Newton,CAR,QB,27,15,14,270,510,3509,19,14,90,359,3.99,5,0,0,0,,0,260.0,18
85,Carson Palmer,ARI,QB,37,15,15,364,597,4233,26,14,14,38,2.71,0,0,0,0,,0,249.0,19
86,Joe Flacco,BAL,QB,31,16,16,436,672,4317,20,15,21,58,2.76,2,0,0,0,,0,244.0,20
87,Eli Manning,NYG,QB,35,16,16,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,,0,226.0,21
88,Alex Smith*,KAN,QB,32,15,15,328,489,3502,15,8,48,134,2.79,5,1,1,3,3.0,0,226.0,22
89,Sam Bradford,MIN,QB,29,15,15,395,552,3877,20,5,20,53,2.65,0,1,1,5,5.0,0,223.0,23
90,Carson Wentz,PHI,QB,24,16,16,379,607,3782,16,14,46,150,3.26,2,1,1,7,7.0,0,217.0,24
91,Colin Kaepernick,SFO,QB,29,12,11,196,331,2241,16,4,69,468,6.78,2,0,0,0,,0,200.0,25
92,Trevor Siemian,DEN,QB,25,14,14,289,486,3401,18,10,28,57,2.04,0,0,0,0,,0,194.0,26
93,Ryan Tannehill,MIA,QB,28,13,13,261,389,2995,19,12,39,164,4.21,1,0,0,0,,0,192.0,27
94,Brock Osweiler,HOU,QB,26,15,14,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14.0,0,168.0,28
95,Ryan Fitzpatrick,NYJ,QB,34,14,11,228,403,2710,12,17,33,130,3.94,0,0,0,0,,0,133.0,29
96,Jamison Crowder,WAS,WR,23,16,9,0,0,0,0,0,2,-2,-1.0,0,99,67,847,12.64,7,125.0,32
97,DeSean Jackson,WAS,WR,30,15,15,0,0,0,0,0,0,0,,0,100,56,1005,17.95,4,125.0,31
98,Pierre Garcon,WAS,WR,30,16,16,0,0,0,0,0,0,0,,0,114,79,1041,13.18,3,122.0,33
99,Brandon LaFell,CIN,WR,30,16,14,0,0,0,0,0,1,-2,-2.0,0,107,64,862,13.47,6,122.0,34
100,Robert Kelley,WAS,RB,24,15,9,0,0,0,0,0,168,704,4.19,6,18,12,82,6.83,1,121.0,25
101,A.J. Green*,CIN,WR,28,10,10,0,0,0,0,0,0,0,,0,100,66,964,14.61,4,120.0,35
102,Willie Snead,NOR,WR,24,15,4,1,1,50,1,0,0,0,,0,104,72,895,12.43,4,120.0,36
103,DeAndre Hopkins,HOU,WR,24,16,16,0,0,0,0,0,0,0,,0,151,78,954,12.23,4,119.0,38
104,Sterling Shepard,NYG,WR,23,16,16,0,0,0,0,0,3,31,10.33,0,105,65,683,10.51,8,119.0,37
105,Mike Gillislee,BUF,RB,26,15,1,0,0,0,0,0,101,577,5.71,8,11,9,50,5.56,1,117.0,27
106,Marvin Jones,DET,WR,26,15,15,0,0,0,0,0,1,3,3.0,0,103,55,930,16.91,4,117.0,39
107,Christine Michael,2TM,RB,26,15,7,0,0,0,0,0,148,583,3.94,7,29,22,107,4.86,1,117.0,26
108,Steve Smith,BAL,WR,37,14,14,0,0,0,0,0,0,0,,0,101,70,799,11.41,5,116.0,40
109,Cole Beasley,DAL,WR,27,16,6,0,1,0,0,0,1,7,7.0,0,98,75,833,11.11,5,114.0,41
110,Case Keenum,LAR,QB,28,10,9,196,322,2201,9,11,20,51,2.55,1,0,0,0,,0,113.0,30
111,Cameron Meredith,CHI,WR,24,14,10,1,1,2,1,0,1,6,6.0,0,97,66,888,13.45,4,113.0,42
112,Devontae Booker,DEN,RB,24,16,6,0,0,0,0,0,174,612,3.52,4,45,31,265,8.55,1,112.0,28
113,Quincy Enunwa,NYJ,WR,24,16,13,0,0,0,0,0,1,12,12.0,0,105,58,857,14.78,4,111.0,43
114,Darren Sproles*,PHI,RB,33,15,5,0,0,0,0,0,94,438,4.66,2,71,52,427,8.21,2,111.0,29
115,Stefon Diggs,MIN,WR,23,13,11,0,0,0,0,0,3,10,3.33,0,112,84,903,10.75,3,109.0,45
116,Marqise Lee,JAX,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,109.0,44
117,Theo Riddick,DET,RB,25,10,8,0,0,0,0,0,92,357,3.88,1,67,53,371,7.0,5,109.0,30
118,Tim Hightower,NOR,RB,30,16,1,0,0,0,0,0,133,548,4.12,4,26,22,200,9.09,1,107.0,32
119,Jerick McKinnon,MIN,RB,24,15,7,0,1,0,0,0,159,539,3.39,2,53,43,255,5.93,2,107.0,31
120,JJ Nelson,ARI,WR,24,15,6,0,0,0,0,0,4,83,20.75,1,74,34,568,16.71,6,107.0,46
121,Anquan Boldin,DET,WR,36,16,16,0,0,0,0,0,0,0,,0,95,67,584,8.72,8,106.0,47
122,Taylor Gabriel,ATL,WR,25,13,3,0,0,0,0,0,4,51,12.75,1,50,35,579,16.54,6,105.0,50
123,Ted Ginn,CAR,WR,31,16,8,0,0,0,0,0,14,98,7.0,0,95,54,752,13.93,4,105.0,48
124,Dontrelle Inman,SDG,WR,27,16,16,0,0,0,0,0,0,0,,0,97,58,810,13.97,4,105.0,49
125,James White,NWE,RB,24,16,4,0,0,0,0,0,39,166,4.26,0,86,60,551,9.18,5,104.0,33
126,Rashad Jennings,NYG,RB,31,13,12,0,0,0,0,0,181,593,3.28,3,42,35,201,5.74,1,103.0,34
127,Jordan Matthews,PHI,WR,24,14,13,0,0,0,0,0,0,0,,0,117,73,804,11.01,3,102.0,52
128,DeVante Parker,MIA,WR,23,15,8,0,0,0,0,0,0,0,,0,87,56,744,13.29,4,102.0,51
129,Matt Asiata,MIN,RB,29,16,6,0,0,0,0,0,121,402,3.32,6,38,32,263,8.22,0,101.0,36
